method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,kiva,40,9,1,2600,1624.1085728728456,4113.406269449317,3618.76089789439,5.932394914580967,0.8794072655879441,918,2600
rgta_eff,kiva,40,9,1,2600,1183.976663390193,3351.2563720349094,8412.220931815682,15.294947148755785,2.508863982050606,930,2600
tp,kiva,40,9,2,2600,2608.8641337311883,6536.527637675196,1654.937625367893,0.7078432957091073,0.2531259751250983,2600,2600
tsp_mapd,kiva,40,9,2,2600,1897.566578569547,4610.650376590799,3053.585012006806,4.877931329084355,0.6620956227248062,916,2600
tp_tsp,kiva,40,9,2,2600,1626.9222516534958,4107.481514315692,3618.9549309492577,5.93271300155616,0.8807386057311408,919,2600
rgta_eff,kiva,40,9,2,2600,1194.0931700156352,3390.3558413604787,8462.341072008712,15.442228233592541,2.494793948115776,930,2600
tp,kiva,40,9,3,2600,2617.130642634581,6439.204986572368,1669.785389705794,0.7144995249062019,0.25924319045269273,2600,2600
tsp_mapd,kiva,40,9,3,2600,1882.21757417455,4643.518540717469,3079.6717379125766,4.943293319281825,0.6630079091308023,916,2600
tp_tsp,kiva,40,9,3,2600,1630.6261214161366,4201.962099668875,3618.993422947824,5.98180731065756,0.8610500649411906,920,2600
rgta_eff,kiva,40,9,3,2600,1197.6847200809798,3385.5176577258394,8494.201375142438,15.114237322317505,2.5078834883798167,930,2600
tp,kiva,40,9,4,2600,2610.2933445008266,6432.652812111417,1649.3375366553664,0.7033422331152949,0.2563471458898611,2600,2600
tsp_mapd,kiva,40,9,4,2600,1889.611299011634,4618.806159545886,3158.140565879876,5.036906803636166,0.6835802090649081,914,2600
tp_tsp,kiva,40,9,4,2600,1622.2425334785944,4388.338023773386,3578.9119549735915,5.984802600290287,0.8152419031830505,920,2600
rgta_eff,kiva,40,9,4,2600,1191.6982781684449,3321.1172574785214,8545.00819047098,15.508181833885628,2.571474026623828,931,2600
tp,kiva,60,6,0,2600,1651.2397407894732,4448.164439868207,1535.8153971319553,0.7309925735992172,0.34512705553527084,2600,2600
tsp_mapd,kiva,60,6,0,2600,1470.6682612177865,3881.7586852605127,380.6215057265945,0.5421958771034109,0.0980225355978868,1300,2600
tp_tsp,kiva,60,6,0,2600,1230.831788925052,3370.4854571998903,730.9528481564485,1.1639376563000772,0.21677130728245803,1300,2600
rgta_eff,kiva,60,6,0,2600,902.8526752656218,2822.817980442962,5146.175345260417,10.856910011097927,1.8223000514378247,1300,2600
tp,kiva,60,6,1,2600,1640.9521933683104,4432.927944056449,1542.4474173341878,0.7320585749094389,0.3478681590740162,2600,2600
tsp_mapd,kiva,60,6,1,2600,1436.8193540038626,3845.0142364563912,384.5939860038925,0.5614510744582373,0.09997244242367884,1300,2600
tp_tsp,kiva,60,6,1,2600,1212.3276491538968,3465.1623128408078,724.3652212782763,1.16270501007749,0.2089314165786779,1300,2600
rgta_eff,kiva,60,6,1,2600,893.7162684018075,2851.954896788371,5182.7517257479485,10.95719180919228,1.816597169908149,1300,2600
tp,kiva,60,6,2,2600,1639.1079600326007,4350.475084125026,1585.8106969390064,0.7529965322597372,0.36438664911282315,2600,2600
tsp_mapd,kiva,60,6,2,2600,1457.2230404656802,3898.0592028711876,391.96347215329297,0.5688874777261146,0.10050345439828025,1300,2600
tp_tsp,kiva,60,6,2,2600,1207.2185569334301,3328.4042826680297,714.4207194505725,1.143073151120916,0.21454075659176353,1300,2600
rgta_eff,kiva,60,6,2,2600,899.9123610675326,2768.117423843449,5177.292038541054,10.876663946514821,1.8690584976682507,1300,2600
tp,kiva,60,6,3,2600,1659.3893599688197,4443.0313167790755,1587.59915214614,0.7538457512564768,0.3571651635874331,2600,2600
tsp_mapd,kiva,60,6,3,2600,1440.0449272568408,3886.9707714038336,382.40388431586325,0.5566286525703977,0.09835490851745454,1300,2600
tp_tsp,kiva,60,6,3,2600,1233.9745531700876,3369.959344183643,729.3227146437857,1.1342499450136636,0.21635203638201891,1300,2600
rgta_eff,kiva,60,6,3,2600,906.2420642524241,2775.8008818443122,5155.195184983313,10.784927165237058,1.8563900558096194,1300,2600
tp,kiva,60,6,4,2600,1639.318159677588,4354.045972604938,1574.3944253772497,0.7468664257007825,0.3614312271297635,2600,2600
tsp_mapd,kiva,60,6,4,2600,1455.6138558144783,4103.374865885874,378.91018579830416,0.558041510748607,0.09230455196061002,1300,2600
tp_tsp,kiva,60,6,4,2600,1222.0383985068972,3409.5746344333197,724.2164403141942,1.177587707827958,0.21231792445446912,1300,2600
rgta_eff,kiva,60,6,4,2600,905.299641400936,2778.3825552228154,5128.003372927196,10.910645474313183,1.8446055298299266,1300,2600
tp,kiva,60,9,0,2600,1619.867579308727,4366.748665242888,1783.333415252855,0.8471892709039691,0.4082723020267525,2600,2600
tsp_mapd,kiva,60,9,0,2600,1250.2581700520498,3494.824472948127,2939.7179426741786,10.278734065294332,0.8408804183850626,983,2600
tp_tsp,kiva,60,9,0,2600,1135.750189773516,3216.002891775743,3262.3066691157874,13.101633209300351,1.013768386922246,990,2600
rgta_eff,kiva,60,9,0,2600,741.5367387121433,2580.0456398045158,8890.485624229768,44.23127176233716,3.443255470267145,1000,2600
tp,kiva,60,9,1,2600,1610.2185499648874,4501.41723240647,1786.7892123467755,0.8488309797371855,0.3967997362528926,2600,2600
tsp_mapd,kiva,60,9,1,2600,1236.8378252642617,3532.132507750232,2991.1630376882385,10.27891078243381,0.8463958793684886,982,2600
tp_tsp,kiva,60,9,1,2600,1134.733546935198,3124.9657559813704,3277.3160849465057,12.902819232072858,1.0484056573725227,990,2600
rgta_eff,kiva,60,9,1,2600,744.4782921452455,2747.1879384387967,8919.876233965624,44.37749370132151,3.2447712746328206,1000,2600
tp,kiva,60,9,2,2600,1615.9403634774799,4369.595053820203,1788.1129162560683,0.8490564654587219,0.40908554478519066,2600,2600
tsp_mapd,kiva,60,9,2,2600,1246.8644323510744,3596.028432864518,3012.747718807077,10.247441220432234,0.837339554976953,982,2600
tp_tsp,kiva,60,9,2,2600,1123.036767084722,3191.9915637099516,3239.0237949439324,13.220505285485439,1.0144139664716356,992,2600
rgta_eff,kiva,60,9,2,2600,732.007956330182,2678.307976095669,8965.603732794989,44.604993695497456,3.3453745271623094,1000,2600
tp,kiva,60,9,3,2600,1625.0074305040023,4378.7307829996835,1784.933764807647,0.8463412825071821,0.4075191243853076,2600,2600
tsp_mapd,kiva,60,9,3,2600,1252.9692043244154,3459.0561604033837,3013.7226921797264,10.500775930939813,0.8707664525223133,983,2600
tp_tsp,kiva,60,9,3,2600,1132.7970682864009,3156.6198872546856,3271.8292011122685,13.519955376496977,1.0360447121951453,992,2600
rgta_eff,kiva,60,9,3,2600,758.5927554161555,2663.0071732877404,8825.853846239625,43.90972062805783,3.3117650454932925,1000,2600
tp,kiva,60,9,4,2600,1605.9232792507833,4390.259613623772,1768.2946460554376,0.840444223410379,0.40261717806362424,2600,2600
tsp_mapd,kiva,60,9,4,2600,1244.6996266326728,3561.7087219413866,2901.955200068187,10.25425865748476,0.8144696042852054,984,2600
tp_tsp,kiva,60,9,4,2600,1113.8247986349247,3200.3316705727707,3247.825897007715,13.365538670813642,1.014311648034889,992,2600
